,station_name,lng,lat
0,Glenwood Ave & Touhy Ave,-87.665906,42.0128005
1,Sheffield Ave & Fullerton Ave,-87.6537080423,41.9256018819
2,Clark St & Bryn Mawr Ave,-87.669154,41.983593
3,Michigan Ave & Jackson Blvd,-87.62408,41.87785
4,Wood St & Chicago Ave,-87.672069,41.895634
5,Oakley Ave & Irving Park Rd,-87.6860796243,41.95434085219
6,Racine Ave & 15th St,-87.65650016666666,41.861251333333335
7,LaSalle St & Jackson Blvd,-87.631929,41.878166
8,Clarendon Ave & Leland Ave,-87.6500285,41.967962
9,Rush St & Superior St,-87.6259080327,41.89576474564
10,Lincoln Park Conservatory,-87.63582453131676,41.92393131136619
11,California Ave & Altgeld St,-87.69766083333333,41.9266475
12,Indiana Ave & 31st St,-87.621857,41.838842
13,Lake Park Ave & 56th St,-87.587782,41.793242
14,Sheridan Rd & Montrose Ave,-87.65463183333334,41.96164683333333
15,State St & Harrison St,-87.627716,41.874053
16,Halsted St & North Branch St,-87.6485665,41.899331333333336
17,Washtenaw Ave & Lawrence Ave,-87.696182,41.9687465
18,University Ave & 57th St,-87.599861,41.791478
19,Halsted St & Clybourn Ave,-87.648128,41.909668
20,Clinton St & Lake St,-87.641823,41.885637
21,Clinton St & Roosevelt Rd,-87.6410879593,41.8671177825
22,Damen Ave & Cortland St,-87.67738,41.9159495
23,Winthrop Ave & Lawrence Ave,-87.657706,41.968881333333336
24,Wilton Ave & Belmont Ave,-87.65293033333333,41.940051
25,Southport Ave & Waveland Ave,-87.66419066666667,41.94804833333333
26,Halsted St & Willow St,-87.64870133333334,41.9138635
27,Clark St & Lake St,-87.6308760584,41.88602082773
28,Halsted St & Maxwell St,-87.647285223,41.864876509
29,Sheffield Ave & Waveland Ave,-87.654529,41.949399
30,St. Clair St & Erie St,-87.62286166666667,41.8943455
31,May St & Cullerton St,-87.654127,41.855136
32,Ogden Ave & Chicago Ave,-87.6540612729,41.896362458
33,DuSable Lake Shore Dr & North Blvd,-87.62676316666666,41.9117565
34,Wood St & Milwaukee Ave,-87.672552,41.907655
35,Ashland Ave & Division St,-87.66805383333333,41.903337
36,Wells St & Huron St,-87.63438733333334,41.894771
37,Damen Ave & Charleston St,-87.67793133333333,41.920078833333335
38,Michigan Ave & 14th St,-87.623727,41.864059
39,Rockwell St & Cermak Rd,-87.69,41.85
40,Clinton St & Jackson Blvd,-87.64098107814789,41.87831661183069
41,Blackstone Ave & Hyde Park Blvd,-87.590368,41.802562
42,Ashland Ave & Grace St,-87.66867166666667,41.9506475
43,Clinton St & Polk St,-87.6409491327,41.87146651779
44,Chicago Ave & Washington St,-87.679101,42.032562
45,Lincoln Ave & Belmont Ave,-87.66830766666666,41.939536833333335
46,Sheffield Ave & Wellington Ave,-87.65266209840775,41.9362534831413
47,Sedgwick St & North Ave,-87.638656139,41.911377788
48,Wabash Ave & Wacker Pl,-87.62603,41.886875
49,Lincoln Ave & Belle Plaine Ave,-87.68028933333333,41.95605433333333
50,Carpenter St & Huron St,-87.653453112,41.894510031
51,Halsted St & Roscoe St,-87.64895,41.94367
52,Wabash Ave & Grand Ave,-87.626761,41.891466
53,Fairbanks Ct & Grand Ave,-87.62058019638062,41.89184737210993
54,Wood St & Hubbard St,-87.67157383333333,41.88988183333333
55,Aberdeen St & Randolph St,-87.654264,41.884114
56,Franklin St & Illinois St,-87.635492,41.891051
57,State St & 35th St,-87.62679755687714,41.8310363140161
58,Richmond St & Diversey Ave,-87.7011951301,41.93190196886
59,Seeley Ave & Roscoe St,-87.67967533333334,41.94333
